accession	name_TGRC	packet_name_1	species	burst_2h_26C_unadjusted_mean	burst_2h_26C_unadjusted_se	burst_2h_26C_mean_day	burst_2h_26C_adjusted_mean	burst_2h_26C_adjusted_se	burst_2h_34C_unadjusted_mean	burst_2h_34C_unadjusted_se	burst_2h_34C_mean_day	burst_2h_34C_adjusted_mean	burst_2h_34C_adjusted_se	unadjusted_bursting_increase	unadjusted_bursting_increase_se	adjusted_bursting_increase	adjusted_bursting_increase_se	burst_integral_26C_unadjusted_mean	burst_integral_26C_unadjusted_se	burst_integral_26C_mean_day	burst_integral_26C_adjusted_mean	burst_integral_26C_adjusted_se	burst_integral_34C_unadjusted_mean	burst_integral_34C_unadjusted_se	burst_integral_34C_mean_day	burst_integral_34C_adjusted_mean	burst_integral_34C_adjusted_se	unadjusted_integral_increase	unadjusted_integral_increase_se	adjusted_integral_increase	adjusted_integral_increase_se	tube_length_26C_adjusted_mean	tube_length_34C_adjusted_mean	tube_length_26C_adjusted_se	tube_length_34C_adjusted_se	unadjusted_tube_length_ratio	unadjusted_tube_length_ratio_se
CW0000	LA4345	LA4345	lycopersicum	0.128639366923971	0.0738151434545617	162	0.150203447002634	0.0484828486248403	0.738382168505431	0.0777877281216975	118.125	0.731500311358256	0.0519109141726016	0.609742801581461	0.107236216128473	0.581296864355622	0.0710304837447584	6.66382978350298	4.19449989857562	162	7.66889442832017	1.83109408243326	29.0401246901197	5.06008217285926	118.125	28.8936928737187	3.30013952947689	22.3762949066167	6.5725383981563	21.2247984453986	3.77409942274154	746.488227696464	710.622814960185	23.9995049526606	8.1269775778297	0.951633574853052	0.0677463743593266
CW0001	LA0490	LA0490	lycopersicum	0.0224663200600724	0.00823078603159818	206.666666666667	0.071179887737195	0.0533833037849511	0.296862991836732	0.056469098751361	210.777777777778	0.374642327133514	0.0577955481774538	0.274396671776659	0.0570657949431085	0.303462439396319	0.0786772045266528	0.659901812282778	0.22100781607325	206.666666666667	2.91185461331128	2.01813610517876	13.4090369912828	3.11662070386645	210.777777777778	15.3455619393674	3.68676821575956	12.7491351790001	3.12444700171638	12.4337073260562	4.20299098449676	733.985553702676	720.123012987601	14.6990951922845	15.6926022573603	0.981113333027954	0.0290371271455536
CW0002	LA1994	LA1994	lycopersicum	0.0857213681126519	0.0305056636492609	205.25	0.133573851295047	0.0553049954020553	0.45328207340591	0.0723951963705029	206	0.526695728864479	0.0594565764921222	0.367560705293258	0.0785599132650076	0.393121877569432	0.0812017672503804	3.61210098028657	1.46140013024662	205.25	5.82450695546513	2.09041104332234	18.6437090622686	3.46839341276841	206	20.4728232582945	3.79154862724754	15.031608081982	3.76370073284528	14.6483163028293	4.32962577168359	758.22133641609	751.339940893198	12.0088975138003	18.5007967270885	0.990924291902127	0.0290118957958196
CW0003	LA2661	LA2661	lycopersicum	0.00709244685263031	0.00361506648995896	205.25	0.0549449300350252	0.0553049954020553	0.374270216247095	0.0547639815766981	204.75	0.44654168802706	0.0592360490227721	0.367177769394464	0.0548831703153139	0.391596757992035	0.081040434477177	0.230997040814961	0.114001359549515	205.25	2.44340301599352	2.09041104332233	14.1184580749494	2.81328350633803	204.75	15.9194706207274	3.77741933291997	13.8874610341344	2.81559237053462	13.4760676047339	4.31725782722801	754.773600137021	709.795342845975	17.4167417087174	15.4155444394205	0.940408279671043	0.0298001242270887
CW0004	LA3120	LA3120	lycopersicum	0.0367044464857855	0.0142493846742159	205.25	0.0845569296681802	0.0553049954020552	0.591517993184035	0.063929079075787	204.75	0.663789464964	0.0592360490227722	0.554813546698249	0.0654978787066574	0.57923253529582	0.081040434477177	2.27568019282845	1.0597721624762	205.25	4.48808616800701	2.09041104332232	14.6293333821519	3.22520573532148	204.75	16.4303459279299	3.77741933291996	12.3536531893235	3.39485921232531	11.9422597599229	4.31725782722799	758.127780921257	725.380157414594	24.2710484627304	22.7795267931314	0.95680461218969	0.0429082825659461
CW0005	LA4355	LA4355	lycopersicum	0.0391055178927152	0.0113328628006011	205.5	0.0871099571624133	0.0553560678860076	0.820169123630425	0.034376346530942	204.75	0.892440595410392	0.0592360490227722	0.78106360573771	0.0361962288100937	0.805330638247979	0.0810752968272615	2.17056767641803	0.881720625647885	205.5	4.38995250321716	2.0923467500162	25.9007367139829	1.75549926416229	204.75	27.7017492597609	3.77741933291996	23.7301690375648	1.96448693764231	23.3117967565437	4.31819542621925	757.463595178824	701.345976276556	8.30170599267644	17.8247971366479	0.925913774259977	0.0256270375396358
CW0006	LA2375	LA2375	lycopersicum	0.0266884076877265	0.0147363579178539	205.75	0.0748448030447312	0.0554072549931567	0.417402424274299	0.0546694308791705	205.5	0.490359206261425	0.059368049008279	0.390714016586572	0.0566207286895488	0.415514403216694	0.0812067063051205	1.44917824573766	0.940357963595472	205.75	3.67554192415743	2.09428675552673	13.61233424231	2.00186067124142	205.5	15.4302077782368	3.78587699631873	12.1631559965724	2.21172313971721	11.7546658540794	4.32653460007313	723.624017829787	691.653816110831	18.3881362557527	13.6794731337301	0.955819319244215	0.0307781816492932
CW0007	LA3320	LA3320	lycopersicum	0.0277132558571676	0.00702175737540383	205.25	0.0755657390395634	0.0553049954020553	0.423557587626361	0.0583931046969028	206.25	0.497199679820651	0.0595009977765984	0.395844331769194	0.0588137717952393	0.421633940781088	0.0812342985002771	1.43059637595273	0.449292502445093	205.25	3.64300235113125	2.09041104332233	14.217906915946	3.05904716559642	206.25	16.0526414420214	3.7943943547155	12.7873105399932	3.09186566883118	12.4096390908902	4.33211805577143	746.834705623956	708.746769732796	7.8130208972283	15.2854267297908	0.949000849044181	0.022747765152687
CW0008	LA4792	LA4792	lycopersicum	0.033005996521841	0.0136592154112	207.25	0.0820741284026743	0.0557167669824871	0.837084668523572	0.0483522663079655	205.75	0.91026988724642	0.0594122601576743	0.804078672001731	0.0502445601310826	0.828195758843746	0.0814504437067346	1.24242445678343	0.584491738310923	207.25	3.51066124492662	2.10601639662505	29.0014380611011	2.12383125228128	205.75	30.8249319270775	3.78870950283017	27.7590136043177	2.20279136105088	27.3142706821508	4.33470007724747	711.519514309804	742.405712170944	11.0473080347397	24.6494657397208	1.04340878533894	0.0382441789191014
CW0010	NA	BGV008224	lycopersicum	0.0657069972657176	0.017119661127323	215.666666666667	0.11989098408581	0.0553911887423391	0.771963551725045	0.0376608357574079	216	0.854514676612432	0.0567609120921801	0.706256554459327	0.0413693285788013	0.734623692526621	0.0793094252395365	3.15366351728349	0.989179722505616	215.666666666667	5.65685497665295	2.09418659711241	26.2719371047408	2.19582215378715	216	28.3258645027499	3.62178316887222	23.1182735874574	2.40834205512397	22.6690095260969	4.18365041869554	722.260660341042	690.321729497801	18.1310598452192	18.8579068013276	0.955779218505187	0.0354595413703054
